go hungry and enjoy .	-1,-1 RESTAURANT#GENERAL 2 3,4			
the service varys from day to day - sometimes they ' re very nice , and sometimes not .	1,2 SERVICE#GENERAL 0 2,3			
the kitchen however , is almost always slow .	1,2 SERVICE#GENERAL 0 7,8			
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .	19,20 LOCATION#GENERAL 2 -1,-1			
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .	4,5 SERVICE#GENERAL 2 3,4	7,8 FOOD#QUALITY 2 6,7	7,8 FOOD#PRICES 2 6,7	
the lava cake dessert was incredible and i recommend it .	1,4 FOOD#QUALITY 2 5,6	1,4 FOOD#QUALITY 2 8,9		
once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .	4,5 AMBIENCE#GENERAL 2 14,19			
this tiny restaurant is as cozy as it gets , with that certain parisian flair .	2,3 AMBIENCE#GENERAL 2 1,2	2,3 AMBIENCE#GENERAL 2 5,6		
the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .	1,2 FOOD#QUALITY 2 3,8	10,13 FOOD#QUALITY 1 15,18	21,22 FOOD#QUALITY 0 22,24	
however , go for the ambience , and consider the food just a companion for a trip across the world !	5,6 AMBIENCE#GENERAL 0 -1,-1	10,11 FOOD#QUALITY 2 -1,-1		
the pizza was delivered cold and the cheese was n ' t even fully melted !	1,2 FOOD#QUALITY 0 4,5	7,8 FOOD#QUALITY 0 8,15		
it looked like shredded cheese partly done - still in strips .	-1,-1 FOOD#QUALITY 0 -1,-1			
this has got to be one of the most overrated restaurants in brooklyn .	-1,-1 RESTAURANT#GENERAL 0 9,10			
the pizza is overpriced and soggy .	1,2 FOOD#QUALITY 0 5,6	1,2 FOOD#PRICES 0 3,4		
yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .	5,6 FOOD#QUALITY 2 4,5	18,19 FOOD#QUALITY 0 17,18	26,27 FOOD#QUALITY 0 -1,-1	
a big disappointment , all around .	-1,-1 RESTAURANT#GENERAL 0 2,3			
i think i ' ve had some the best meals of my life at minnow .	9,10 FOOD#QUALITY 2 8,9			
the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .	1,2 FOOD#QUALITY 2 3,4	10,12 DRINKS#STYLE_OPTIONS 2 9,10	18,19 FOOD#STYLE_OPTIONS 2 15,18	18,19 FOOD#STYLE_OPTIONS 2 22,24
the combination of super - fresh ingredients in the dishes are unusual but really delicious .	6,7 FOOD#QUALITY 2 3,6	6,7 FOOD#QUALITY 2 11,12	6,7 FOOD#QUALITY 2 14,15	
worth the trip from manhattan .	-1,-1 RESTAURANT#GENERAL 2 0,1			
best pastrami i ever had and great portion without being ridiculous .	1,2 FOOD#QUALITY 2 0,1	7,8 FOOD#STYLE_OPTIONS 2 6,7		
my wife had the fried shrimp which are huge and loved it .	4,6 FOOD#STYLE_OPTIONS 2 8,9	4,6 FOOD#QUALITY 2 10,11		
as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .	26,27 RESTAURANT#GENERAL 2 23,24			
this place is the most japanese it can ever get .	1,2 RESTAURANT#MISCELLANEOUS 2 5,6			
the signs , the specials menus , food , and even all the waitstaff are all totally japanese .	1,2 RESTAURANT#MISCELLANEOUS 2 17,18	4,6 FOOD#STYLE_OPTIONS 2 17,18	7,8 FOOD#QUALITY 2 17,18	13,14 SERVICE#GENERAL 2 17,18
this place is worth an one - hour drive .	1,2 RESTAURANT#GENERAL 2 3,4			
i am so coming back here again , as much as i can .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	17,18 SERVICE#GENERAL 2 5,6	17,18 SERVICE#GENERAL 2 15,16		
decent wine at reasonable prices .	1,2 DRINKS#QUALITY 1 0,1	1,2 DRINKS#PRICES 2 3,4		
our teenage kids love it , too .	-1,-1 RESTAURANT#GENERAL 2 3,4			
everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .	23,25 RESTAURANT#GENERAL 2 -1,-1			
this is by far my favorite place in the neighborhood .	6,7 RESTAURANT#GENERAL 2 5,6			
the service is excellent , the decor is great , and the food is delicious and comes in large portions .	1,2 SERVICE#GENERAL 2 3,4	6,7 AMBIENCE#GENERAL 2 8,9	12,13 FOOD#QUALITY 2 14,15	19,20 FOOD#STYLE_OPTIONS 2 18,19
i ' m partial to the gnocchi .	6,7 RESTAURANT#GENERAL 2 3,4			
this place is incredibly tiny .	1,2 AMBIENCE#GENERAL 0 4,5			
they refuse to seat parties of 3 or more on weekends .	-1,-1 SERVICE#GENERAL 0 1,2			
the hostess is rude to the point of being offensive .	1,2 SERVICE#GENERAL 0 3,4	1,2 SERVICE#GENERAL 0 9,10		
the food was bland oily .	1,2 FOOD#QUALITY 0 3,5			
i just do n ' t understand all the hype . . .	-1,-1 RESTAURANT#GENERAL 0 9,10			
we have been to this place many times , and always have great food , wine , and service .	13,14 FOOD#QUALITY 2 12,13	15,16 DRINKS#QUALITY 2 12,13	18,19 SERVICE#GENERAL 2 12,13	
we were worried we would have trouble getting in , but somehow managed to have a short wait .	17,18 SERVICE#GENERAL 2 16,17			
as always we had a great glass of wine while we waited .	6,9 DRINKS#QUALITY 2 5,6			
when we sat , we got great and fast service .	9,10 SERVICE#GENERAL 2 6,7	9,10 SERVICE#GENERAL 2 8,9		
the people that work there are always so friendly you forget you are in new york sometimes .	1,2 SERVICE#GENERAL 2 8,9			
this is a fun restaurant to go to .	4,5 RESTAURANT#GENERAL 2 3,4			
the pizza is yummy and i like the atmoshpere .	1,2 FOOD#QUALITY 2 3,4	8,9 AMBIENCE#GENERAL 2 6,7		
but the pizza is way to expensive .	2,3 FOOD#PRICES 0 6,7			
a large is $ 20 , and toppings are about $ 3 each .	-1,-1 FOOD#PRICES 0 -1,-1	7,8 FOOD#PRICES 0 -1,-1		
i went there for lunch and it was not as good as i expected from the reviews i read .	4,5 FOOD#QUALITY 0 8,14			
sauce was watery and the food did n ' t have much flavor .	0,1 FOOD#QUALITY 0 2,3	5,6 FOOD#QUALITY 0 -1,-1		
i do n ' t think i would go again .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
this place is great .	1,2 RESTAURANT#GENERAL 2 3,4			
the waitress was very patient with us and the food is phenomenal !	1,2 SERVICE#GENERAL 2 4,5	9,10 FOOD#QUALITY 2 11,12		
service was prompt , friendly and great .	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5	0,1 SERVICE#GENERAL 2 6,7	
slightly on the pricey side but worth it !	-1,-1 RESTAURANT#PRICES 0 3,4	-1,-1 RESTAURANT#GENERAL 2 6,7		
great pizza and fantastic service .	1,2 FOOD#QUALITY 2 0,1	4,5 SERVICE#GENERAL 2 3,4		
there was a small wait , but shorter than i expected .	4,5 SERVICE#GENERAL 2 3,4	4,5 SERVICE#GENERAL 2 7,8		
located at the end of a magnificent block .	-1,-1 LOCATION#GENERAL 2 6,7			
very cozy and warm inside . . . . .	-1,-1 AMBIENCE#GENERAL 2 1,2	-1,-1 AMBIENCE#GENERAL 2 3,4		
i will be back !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
this is the best sushi in new york city - hands down .	4,5 FOOD#QUALITY 2 3,4			
the place is small and cramped but the food is fantastic .	1,2 AMBIENCE#GENERAL 0 3,4	1,2 AMBIENCE#GENERAL 0 5,6	8,9 FOOD#QUALITY 2 10,11	
planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .	16,17 FOOD#QUALITY 2 20,21	23,25 FOOD#QUALITY 2 26,27	0,2 RESTAURANT#GENERAL 2 6,7	
with the great variety on the menu , i eat here often and never get bored .	6,7 FOOD#STYLE_OPTIONS 2 2,4			
the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down .	1,2 AMBIENCE#GENERAL 0 2,8	-1,-1 RESTAURANT#PRICES 2 20,21		
it ' s all about the food ! !	6,7 FOOD#QUALITY 2 -1,-1			
first it took us a long time to find the place .	10,11 RESTAURANT#MISCELLANEOUS 0 -1,-1			
but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .	6,7 FOOD#STYLE_OPTIONS 0 -1,-1			
those rolls were big , but not good and sashimi was n ' t fresh .	1,2 FOOD#STYLE_OPTIONS 1 3,4	1,2 FOOD#QUALITY 0 6,8	9,10 FOOD#QUALITY 0 10,15	
they were dry and disgusting , i did n ' t even finish my first piece .	-1,-1 FOOD#QUALITY 0 2,3	-1,-1 FOOD#QUALITY 0 4,5		
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .	-1,-1 SERVICE#GENERAL 2 15,16			
try the crunchy tuna , it is to die for .	2,4 FOOD#QUALITY 2 8,10			
try everything for that matter , it is all good .	-1,-1 FOOD#QUALITY 2 9,10			
i have been going there since it opened and i ca n ' t get enough .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
first went here to enjoy their garden terrace .	6,8 AMBIENCE#GENERAL 2 4,5			
the steak tartare is a great bet , they fix it for you at the table .	1,3 FOOD#STYLE_OPTIONS 2 5,6			
admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .	12,14 AMBIENCE#GENERAL 2 18,19	5,6 AMBIENCE#GENERAL 0 8,9		
great wine selection , gigondas is worth the price , and the house champagne is a great value .	1,3 DRINKS#STYLE_OPTIONS 2 0,1	4,5 DRINKS#QUALITY 2 6,7	12,14 DRINKS#PRICES 2 16,18	
it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .	11,12 AMBIENCE#GENERAL 2 13,14	19,21 FOOD#QUALITY 2 18,19	-1,-1 AMBIENCE#GENERAL 1 5,6	
have recommended the place to friends , always gets good response .	3,4 RESTAURANT#MISCELLANEOUS 2 1,2	-1,-1 RESTAURANT#MISCELLANEOUS 2 9,10		
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !	4,5 FOOD#QUALITY 2 -1,-1	15,16 FOOD#QUALITY 2 19,20	15,16 FOOD#QUALITY 2 21,23	
i take all my nyc guests to vt ' s .	7,10 RESTAURANT#MISCELLANEOUS 2 -1,-1			
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !	17,18 LOCATION#GENERAL 2 16,17	21,22 FOOD#QUALITY 2 20,21		
i ' ve been there three times and have always had wonderful experiences .	-1,-1 RESTAURANT#GENERAL 2 11,12			
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .	16,17 AMBIENCE#GENERAL 2 15,16	19,20 SERVICE#GENERAL 2 18,19	-1,-1 RESTAURANT#MISCELLANEOUS 2 4,5	
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .	27,28 RESTAURANT#GENERAL 2 26,27			
even after they overcharged me the last time i was there .	-1,-1 SERVICE#GENERAL 0 3,4			
it ' s delicious !	-1,-1 FOOD#QUALITY 2 3,4			
moules were excellent , lobster ravioli was very salty !	0,1 FOOD#QUALITY 2 2,3	4,6 FOOD#QUALITY 0 8,9		
took my mom for mother ' s day , and the maitre d ' was pretty rude .	11,14 SERVICE#GENERAL 0 16,17			
told us to sit anywhere , and when we sat he said the table was reserved .	-1,-1 SERVICE#GENERAL 0 -1,-1			
stepped on my foot on the second time he reached over me to adjust lighting .	-1,-1 SERVICE#GENERAL 0 -1,-1			
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .	1,2 FOOD#STYLE_OPTIONS 0 0,1	1,2 FOOD#QUALITY 0 -1,-1	1,2 FOOD#PRICES 0 12,13	
the drinks are always well made and wine selection is fairly priced .	1,2 DRINKS#QUALITY 2 4,6	7,9 DRINKS#PRICES 2 10,12		
try their chef ' s specials - - they are to die for .	2,6 FOOD#QUALITY 2 11,13			
service is not exactly five star , but thats not really a big deal .	0,1 SERVICE#GENERAL 1 2,6			
downstairs lounge is always a good attraction	0,2 AMBIENCE#GENERAL 2 5,7			
the exotic food is beautifully presented and is a delight in delicious combinations .	1,3 FOOD#STYLE_OPTIONS 2 4,6	1,3 FOOD#QUALITY 2 9,10		
it is also extremely well priced .	-1,-1 FOOD#PRICES 2 3,5			
the staff is incredibly helpful and attentive .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
the bar is very well stocked with interesting beers and well priced wines .	1,2 DRINKS#STYLE_OPTIONS 2 4,6	8,9 DRINKS#STYLE_OPTIONS 2 7,8	12,13 DRINKS#PRICES 2 10,12	
this is one of my favorite restaurants and it is not to be missed .	-1,-1 RESTAURANT#GENERAL 2 5,6			
your friends will thank you for introducing them to this gem !	-1,-1 RESTAURANT#GENERAL 2 10,11			
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .	4,5 RESTAURANT#GENERAL 0 -1,-1			
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .	1,2 SERVICE#GENERAL 0 -1,-1			
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .	-1,-1 SERVICE#GENERAL 0 -1,-1			
such a disappointment . . .	-1,-1 SERVICE#GENERAL 0 2,3			
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one	1,2 SERVICE#GENERAL 0 0,1	4,5 FOOD#QUALITY 1 3,4	-1,-1 RESTAURANT#GENERAL 0 -1,-1	
i loved everythig about it - especially the shows and actors .	8,9 AMBIENCE#GENERAL 2 1,2	10,11 AMBIENCE#GENERAL 2 1,2	-1,-1 RESTAURANT#GENERAL 2 1,2	
our server was very helpful and friendly .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
the food was good too .	1,2 FOOD#QUALITY 2 3,4			
the tuna and wasabe potatoes are excellent .	1,2 FOOD#QUALITY 2 6,7	3,5 FOOD#QUALITY 2 6,7		
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .	1,3 LOCATION#GENERAL 2 24,25			
inside is a little cramped , but to be expected .	-1,-1 AMBIENCE#GENERAL 1 4,5			
service was prompt and courteous .	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5		
this was a repeat visit and we ' ll definitely be back again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
great service , great food .	1,2 SERVICE#GENERAL 2 0,1	4,5 FOOD#QUALITY 2 3,4		
prices are in line .	-1,-1 RESTAURANT#PRICES 1 2,4			
but too far east !	-1,-1 LOCATION#GENERAL 0 2,3			
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .	1,2 FOOD#QUALITY 2 3,4	8,9 FOOD#QUALITY 2 7,8		
two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .	5,7 FOOD#STYLE_OPTIONS 0 7,8			
also , because it is so thin , it gets cold very quickly and its not that filling .	-1,-1 FOOD#QUALITY 0 10,11	-1,-1 FOOD#STYLE_OPTIONS 0 6,7		
wait staff is blantently unappreciative of your business but its the best pie on the uws !	0,2 SERVICE#GENERAL 0 4,5	12,13 FOOD#QUALITY 2 11,12		
by far the best salad i have had in a fast food restaurant .	4,5 FOOD#QUALITY 2 3,4			
over 100 different choices to create your own .	-1,-1 FOOD#STYLE_OPTIONS 2 -1,-1			
a must try !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .	14,15 RESTAURANT#GENERAL 2 13,14			
this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .	-1,-1 FOOD#QUALITY 2 9,10	-1,-1 AMBIENCE#GENERAL 2 4,5	-1,-1 AMBIENCE#GENERAL 2 6,7	
with so many poor experiences to be had in the theater district , is truly an excellent find !	-1,-1 RESTAURANT#GENERAL 2 16,17			
the staff is no nonsense .	1,2 SERVICE#GENERAL 2 3,5			
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .	12,13 FOOD#QUALITY 2 18,19			
worth visiting the 1st ave spot because it is the original store .	3,6 RESTAURANT#MISCELLANEOUS 2 0,1			
he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !	4,7 FOOD#QUALITY 2 24,25			
the sake menu should not be overlooked !	1,3 DRINKS#STYLE_OPTIONS 2 6,7			
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .	-1,-1 RESTAURANT#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 12,13		
try the lobster teriyaki and the rose special roll .	2,4 FOOD#QUALITY 2 -1,-1	6,9 FOOD#QUALITY 2 -1,-1		
service was very good - prompt , attentive and non - intrusive .	0,1 SERVICE#GENERAL 2 3,4	0,1 SERVICE#GENERAL 2 5,6	0,1 SERVICE#GENERAL 2 7,8	0,1 SERVICE#GENERAL 2 9,12
food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .	0,1 FOOD#QUALITY 2 3,4	19,21 FOOD#QUALITY 0 -1,-1		
wine list selection is good and wine - by - the - glass was generously filled to the top .	0,3 DRINKS#STYLE_OPTIONS 2 4,5	6,13 DRINKS#STYLE_OPTIONS 2 14,16		
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .	0,3 AMBIENCE#GENERAL 2 4,5	7,8 AMBIENCE#GENERAL 0 10,11		
i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .	6,8 RESTAURANT#GENERAL 2 19,20			
to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	5,6 SERVICE#GENERAL 1 8,9	5,6 SERVICE#GENERAL 1 10,11	5,6 SERVICE#GENERAL 1 23,25	
seating is always prompt , though the restaurant does fill up in the evening .	0,1 SERVICE#GENERAL 2 3,4			
food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .	0,1 FOOD#QUALITY 2 4,5	13,18 FOOD#QUALITY 0 9,12		
as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .	-1,-1 SERVICE#GENERAL 1 -1,-1			
the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,8	1,2 AMBIENCE#GENERAL 2 25,26	10,14 AMBIENCE#GENERAL 2 25,26
i have never been disappointed in the red eye .	7,9 RESTAURANT#GENERAL 2 2,5			
the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .	12,15 AMBIENCE#GENERAL 2 9,10	16,17 AMBIENCE#GENERAL 2 9,10		
it ' s simply the best meal in nyc .	6,7 FOOD#QUALITY 2 5,6			
you can not go wrong at the red eye grill .	7,10 RESTAURANT#GENERAL 2 4,5			
if we were to move from the upper east side , we would genuinely miss this restaurant .	16,17 RESTAURANT#GENERAL 2 14,15			
the restaurant is cute but not upscale .	1,2 RESTAURANT#GENERAL 1 3,4	1,2 RESTAURANT#GENERAL 1 5,7		
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .	1,2 FOOD#QUALITY 2 4,5	11,12 FOOD#QUALITY 2 13,14	11,12 FOOD#QUALITY 2 15,16	18,23 FOOD#QUALITY 2 17,18
i would highly recommend it .	-1,-1 RESTAURANT#GENERAL 2 3,4			
it ' s one of our favorite places to eat in ny .	-1,-1 RESTAURANT#GENERAL 2 6,7			
we had a great time at the jekyll and hyde pub last night .	7,11 RESTAURANT#GENERAL 2 3,5			
after really enjoying ourselves at the bar we sat down at a table and had dinner .	6,7 RESTAURANT#MISCELLANEOUS 2 2,3			
the server was really cool and served us our food and drinks with a smile .	1,2 SERVICE#GENERAL 2 4,5			
the place ' s decor and hidden bathrooms made for a good laugh .	4,5 AMBIENCE#GENERAL 2 11,13	6,8 AMBIENCE#GENERAL 2 11,13		
i highly recommend visiting this restaurant and having dinner and drinks !	5,6 RESTAURANT#GENERAL 2 2,3			
if you are the type of person who likes being scared and entertained , this is a great place to go and eat .	18,19 RESTAURANT#MISCELLANEOUS 2 17,18			
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .	5,6 DRINKS#STYLE_OPTIONS 2 16,17	19,20 FOOD#QUALITY 2 21,22	33,35 FOOD#QUALITY 2 26,27	
the entertainment was great they have shows that go on through out the dinner .	1,2 AMBIENCE#GENERAL 2 3,4			
you will not be disapointed at all .	-1,-1 RESTAURANT#GENERAL 2 2,5			
